2	S	09/28/2009
2	D	09/28/2009
2	P	10/06/2009
2	D	10/06/2009
2	P	10/21/2009
2	D	10/21/2009
2	P	10/29/2009
2	D	10/29/2009
2	P	10/29/2009
2	D	10/29/2009
2	A	11/03/2009
2	H	11/03/2009
2	S	11/03/2009
2	P	11/04/2009
2	D	11/04/2009
2	P	11/06/2009
2	D	11/06/2009
2	P	11/30/2009
2	D	11/30/2009
2	N	12/01/2009
2	P	12/01/2009
2	D	12/01/2009
2	f	12/01/2009
2	N	12/01/2009
2	P	12/08/2009
2	D	12/08/2009
2	P	01/27/2010
2	D	01/27/2010
2	P	02/02/2010
2	D	02/02/2010
2	P	02/04/2010
2	D	02/04/2010
2	P	04/02/2010
2	D	04/02/2010
2	P	05/04/2010
2	D	05/04/2010
2	N	05/04/2010
2	H	05/13/2010
2	N	05/13/2010
2	H	05/13/2010
2	N	05/13/2010
2	P	06/29/2010
2	D	06/29/2010
2	N	07/22/2010
2	H	09/13/2010
2	H	09/13/2010
2	P	09/21/2010
2	D	09/21/2010
2	P	09/23/2010
2	D	09/23/2010
2	N	10/20/2010
2	N	11/30/2010
2	N	11/30/2010
2	P	11/30/2010
2	D	11/30/2010
2	P	11/30/2010
2	D	11/30/2010
2	P	11/30/2010
2	D	11/30/2010
2	P	11/30/2010
2	D	11/30/2010
2	P	11/30/2010
2	D	11/30/2010
2	P	11/30/2010
2	D	11/30/2010
2	P	12/01/2010
2	D	12/01/2010
2	P	12/01/2010
2	D	12/01/2010
2	P	12/14/2010
2	D	12/14/2010
2	N	02/23/2011
2	P	03/25/2011
2	D	03/25/2011
2	N	05/09/2011
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
2	D	01/08/2012
3	H	06/01/2009
3	N	11/15/2010
3	H	03/11/2011
3	f	03/11/2011
3	N	04/11/2011
3	f	04/11/2011
3	H	04/12/2011
3	N	05/03/2011
3	f	05/03/2011
3	N	05/05/2011
3	f	05/05/2011
3	N	05/05/2011
3	f	05/05/2011
3	N	05/10/2011
3	f	05/10/2011
3	N	05/10/2011
3	f	05/10/2011
3	N	05/17/2011
3	f	05/17/2011
3	N	05/24/2011
3	f	05/24/2011
3	N	05/24/2011
3	f	05/24/2011
3	N	05/26/2011
3	f	05/26/2011
3	N	05/26/2011
3	f	05/26/2011
3	H	05/31/2011
3	N	06/02/2011
3	f	06/02/2011
3	N	06/02/2011
3	f	06/02/2011
3	N	06/16/2011
3	f	06/16/2011
3	N	06/16/2011
3	f	06/16/2011
3	N	06/22/2011
3	f	06/22/2011
3	N	06/22/2011
3	f	06/22/2011
3	N	07/20/2011
3	f	07/20/2011
3	N	07/20/2011
3	f	07/20/2011
3	N	07/27/2011
3	f	07/27/2011
3	N	07/27/2011
3	f	07/27/2011
3	N	08/15/2011
3	f	08/15/2011
3	N	08/15/2011
3	f	08/15/2011
3	D	08/18/2011
3	N	08/23/2011
3	f	08/23/2011
3	N	08/23/2011
3	f	08/23/2011
3	H	09/07/2011
3	D	09/13/2011
3	D	09/20/2011
3	D	09/27/2011
3	D	10/04/2011
3	H	10/25/2011
3	D	10/25/2011
3	P	10/25/2011
3	D	11/09/2011
3	H	11/22/2011
3	D	11/22/2011
3	P	11/22/2011
3	H	12/05/2011
3	H	02/22/2012
3	A	04/04/2012
3	A	04/20/2012
3	A	04/26/2012
3	A	05/07/2012
4	A	06/27/2013
4	A	07/10/2013
4	A	07/10/2013
4	P	07/25/2013
4	D	07/25/2013
4	P	07/30/2013
4	D	07/30/2013
4	P	08/09/2013
4	D	08/09/2013
4	P	08/16/2013
4	D	08/16/2013
4	P	08/20/2013
4	D	08/20/2013
4	P	08/23/2013
4	D	08/23/2013
4	P	08/29/2013
4	D	08/29/2013
4	P	09/10/2013
4	D	09/10/2013
4	P	09/16/2013
4	D	09/16/2013
4	P	09/17/2013
4	D	09/17/2013
4	P	09/24/2013
4	D	09/24/2013
4	P	09/30/2013
4	D	09/30/2013
4	P	10/07/2013
